title,artist.hotttnesss,artist.id,artist.name,duration,familiarity,latitude,longitude,loudness,release.id,release.name,similar,song.hotttnesss,song.id,tempo,terms,year
Only Human,0.854637828,ARPDVPJ1187B9ADBE9,Usher Featuring The Nu Beginning,338.75546,0.856448924,37.15735675,-63.93335787,-11.215,667675,Back To The Beginning - Usher,ARAWOLW1187FB3AB70,,SOSIANM12AB018CC80,118.099,hip hop,2004
Forever,0.852186238,ARXOTQH1187FB57084,Chris Brown,363.59791,0.892688611,37.15735675,-63.93335787,-4.376,279702,Forever,ARAWOLW1187FB3AB70,,SOSGQPS12A8AE48538,139.998,r&b,0
I.Y.A.,0.852186238,ARXOTQH1187FB57084,Chris Brown,188.89098,0.892688611,37.15735675,-63.93335787,-6.969,640908,Graffiti,ARAWOLW1187FB3AB70,0.635536649,SOJXPPN12A58A7E3E7,131.953,r&b,0
Moving Mountains,0.851233891,ARPDVPJ1187B9ADBE9,Usher,309.83791,0.856448924,37.15735675,-63.93335787,-5.692,428531,Moving Mountains,ARAWOLW1187FB3AB70,,SOKMBQK12A8C1450CE,126.955,hip hop,2008
Pianolude,0.851233891,ARPDVPJ1187B9ADBE9,Usher,212.61016,0.856448923,37.15735675,-63.93335787,-16.611,294868,Live,ARAWOLW1187FB3AB70,,SODVOGB12A58A7C5B7,209.056,hip hop,1999
Mother's Luv,0.851233891,ARPDVPJ1187B9ADBE9,Usher Featuring The Nu Beginning,313.7824,0.856448924,37.15735675,-63.93335787,-10.627,667675,Back To The Beginning - Usher,ARAWOLW1187FB3AB70,,SOPJMCP12AB018CCA2,152.879,hip hop,0
Fly Talkin',0.843430844,ARUDYKB11F4C83C269,Lil Wayne,98.16771,0.98993857,29.95369,-90.07771,-3.887,25448,500 Degreez,AREQCTZ1269FB33503,0.572602328,SOIFTHQ12AF72A4829,123.881,hip hop,0
Harder To Breathe,0.843380274,ARF5M7Q1187FB501E8,Maroon 5,173.66159,0.905477001,37.15735675,-63.93335787,-4.757,81735,Songs About Jane,ARY53RR1187B9AE485,0.979837197,SOOXLKF12A6D4F594A,149.917,pop,2002
This Love,0.843380274,ARF5M7Q1187FB501E8,Maroon 5,177.52771,0.905477001,37.15735675,-63.93335787,-6.04,343549,Call And Response: The Remix Album,ARY53RR1187B9AE485,0.579767081,SOEYHBE12AB01848F6,114.998,pop,2002
She Will Be Loved,0.843380274,ARF5M7Q1187FB501E8,Maroon 5,261.61587,0.905477001,37.15735675,-63.93335787,-5.743,343549,Call And Response: The Remix Album,ARY53RR1187B9AE485,0.548005621,SOKYZSI12AB0183789,102.143,pop,2002
Through With You,0.843380274,ARF5M7Q1187FB501E8,Maroon 5,181.52444,0.905477001,37.15735675,-63.93335787,-5.622,81735,Songs About Jane,ARY53RR1187B9AE485,0.787210099,SOCSLKG12A6D4F5954,145.999,pop,2002
Sweetest Goodbye,0.843380274,ARF5M7Q1187FB501E8,Maroon 5,270.70649,0.905477001,37.15735675,-63.93335787,-6.247,81735,Songs About Jane,ARY53RR1187B9AE485,,SOCOZKO12B0B8066E3,164.049,pop,2002
Derek Taylor - Introduction,0.840462688,AR6XZ861187FB4CECD,The Beatles,53.78567,0.840409662,53.40977,-2.97848,-47.664,70646,Here There And Everywhere,ARA97CU1187FB364DA,,SORTPSA12A67ADBFE2,112.361,merseybeat,0
Ain't She Sweet,0.840462688,AR6XZ861187FB4CECD,The Beatles / Tony Sheridan,130.95138,0.840409662,53.40977,-2.97848,-7.455,804505,Total 60s,ARA97CU1187FB364DA,0.74556417,SOHLPTB12AF72A6B20,159.437,merseybeat,1964
Poker Face,0.838447768,ARX6TAQ11C8A415850,Lady GaGa,243.33016,0.939227165,40.71455,-74.00712,-11.323,623979,Live Lounge 4,AR03BDP1187FB5B324,,SOTKNLA12AB01826E7,86.499,dance pop,2008
Rosalita (Come Out Tonight),0.838095532,AR91C8S1187B990901,Bruce Springsteen,591.62077,0.850789989,40.23447,-74.29504,-5.67,570833,Hammersmith Odeon_ London '75,ARQL56C1187FB41279,,SONTMSY12AB017B6E1,167.559,heartland rock,1973
Working On The Highway,0.838095532,AR91C8S1187B990901,Bruce Springsteen,191.99955,0.850789989,40.23447,-74.29504,-11.516,290204,Born In The U.S.A.,ARQL56C1187FB41279,0.751580891,SOYIXMY12AF72A0734,183.709,heartland rock,1984
Day Old Blues,0.837714709,ARF2EHS1187B994F4E,Kings Of Leon,212.97587,0.845768866,36.16778,-86.77836,-10.831,300546,Aha Shake Heartbreak,AR3KUCG1187B9A0BEA,0.724788814,SOANUME12A8C1368DF,85.855,southern rock,2004
Talking Drum (Isea '95),0.830356766,ARXOTQH1187FB57084,Chris Brown,99.3171,0.892688611,37.15735675,-63.93335787,-20.575,88726,Talking Drum,ARAWOLW1187FB3AB70,,SOWMUUZ12A8C133F2A,204.064,r&b,0
So Glad,0.830356766,ARXOTQH1187FB57084,Chris Brown,177.89342,0.892688611,37.15735675,-63.93335787,-7.098,308016,Chris Brown,ARAWOLW1187FB3AB70,0.624061571,SOUXGBA12A8C14002E,100.969,r&b,0
I Love U,0.830356766,ARXOTQH1187FB57084,Chris Brown,182.22975,0.892688611,37.15735675,-63.93335787,-6.649,640908,Graffiti,ARAWOLW1187FB3AB70,0.581987157,SOVGXVD12A58A7D23B,66.696,r&b,0
Forever,0.830356766,ARXOTQH1187FB57084,Chris Brown,389.25016,0.892688611,37.15735675,-63.93335787,-2.991,279702,Forever,ARAWOLW1187FB3AB70,,SOYPBEP12A8AE4853A,85.322,r&b,0
Help Me,0.830356766,ARXOTQH1187FB57084,Chris Brown,197.09342,0.892688611,37.15735675,-63.93335787,-6.45,280176,Exclusive,ARAWOLW1187FB3AB70,0.587748265,SOUIJVE12A8AE4961E,89.966,r&b,0
Famous Girl,0.830356766,ARXOTQH1187FB57084,Chris Brown,219.21914,0.892688611,37.15735675,-63.93335787,-4.963,640908,Graffiti,ARAWOLW1187FB3AB70,0.652619551,SOVXTGT12A58A78B8D,105.98,r&b,0
Show You How,0.828906302,ARVG4OK1187B9B6BD3,The Killers,166.29506,0.918451789,37.15735675,-63.93335787,-6.467,174061,Sawdust,ARVN9FZ1187FB393F1,,SOSNQQX12AF729C44C,82.909,rock,2004
A White Demon Love Song (Soundtrack Album Version),0.828906302,ARVG4OK1187B9B6BD3,The Killers,213.96853,0.918451789,37.15735675,-63.93335787,-9.041,617497,The Twilight Saga: New Moon Original Motion Picture Soundtrack,ARVN9FZ1187FB393F1,0.523796347,SORGIYZ12AAF3B3528,86.958,rock,0
A Dustland Fairytale,0.828906302,ARVG4OK1187B9B6BD3,The Killers,225.12281,0.918451789,37.15735675,-63.93335787,-4.808,336537,Day & Age,ARVN9FZ1187FB393F1,0.760343237,SOTEFFR12A8C144765,134.734,rock,2008
Over The Edge,0.826777014,ARCGJ6U1187FB4D01F,Akon,266.89261,1,37.15735675,-63.93335787,-6.102,343568,Freedom,ARAWOLW1187FB3AB70,0.644116784,SOIMYXI12AB018106C,126.983,hip hop,2008
Don't Matter,0.826777014,ARCGJ6U1187FB4D01F,Akon,249.39057,1,37.15735675,-63.93335787,-6.124,92527,Don't Matter,ARAWOLW1187FB3AB70,0.847530898,SOWONPQ12A8BED02A8,125.328,hip hop,2006
Lonely,0.826777014,ARCGJ6U1187FB4D01F,Akon,211.66975,1,37.15735675,-63.93335787,-10.87,10697,Lonely,ARAWOLW1187FB3AB70,,SORCTMT12A58291950,90.069,hip hop,2004
Gun Shot,0.826777014,ARCGJ6U1187FB4D01F,Akon,175.20281,1,37.15735675,-63.93335787,-10.796,463665,Riddim Driven: Fiesta,ARAWOLW1187FB3AB70,,SOVAJWX12AB0181448,125.228,hip hop,0
Belly Dancer (Bananza) Remix ft. Kardinal Offishall,0.826777014,ARCGJ6U1187FB4D01F,Akon / Kardinal Offishall,207.20281,0.481944698,37.15735675,-63.93335787,-6.583,20907,Pot of Gold,ARAWOLW1187FB3AB70,0,SOCEHMD12A67AD94C4,100.364,hip hop,0
FEZ-Being Born,0.825639111,ARUJ5A41187FB3F5F1,U2,316.96934,0.843526543,37.15735675,-63.93335787,-7.896,394700,No Line On The Horizon,AR6LZB61187B9AF431,0.674436804,SOUATDY12AB0185157,187.844,dance rock,2009
October,0.825639111,ARUJ5A41187FB3F5F1,U2,142.23628,0.843526543,37.15735675,-63.93335787,-14.05,278645,October,AR6LZB61187B9AF431,,SOIFMVY12A8AE467B1,94.838,dance rock,1981
If I Was Your Woman,0.821648467,AR52EZT1187B9900BF,Alicia Keys,244.45342,0.933916106,40.8079,-73.9454,-12.518,307580,Unplugged,AR5DC8S1187B9958BE,0.623448449,SOXQVZC12A8C13C5D9,74.078,neo soul,2005
Children Of The Revolution,0.819588282,ARVG4OK1187B9B6BD3,Killers,218.8273,0.918451789,37.15735675,-63.93335787,-4.294,222971,Murder One,ARVN9FZ1187FB393F1,0.425124658,SOZFRGA12A58A7B247,128.951,rock,0
Spaceman,0.819588282,ARVG4OK1187B9B6BD3,The Killers,284.3424,0.918451789,37.15735675,-63.93335787,-6.546,624887,Hitzone 49,ARVN9FZ1187FB393F1,,SOGOQGE12AB0182907,151.953,rock,2008
When You Were Young,0.819588282,ARVG4OK1187B9B6BD3,The Killers,269.76608,0.918451789,37.15735675,-63.93335787,-7.477,311155,When You Were Young,ARVN9FZ1187FB393F1,,SOQNLMA12A8C1414FC,130.065,rock,2006
Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),0.819588282,ARVG4OK1187B9B6BD3,The Killers,527.98649,0.918451789,37.15735675,-63.93335787,-8.361,144663,Rock Hits Workout 45 Minute Continuous Fitness Music Mix. 114Bpm  152Bpm For Jogging_ Cycling_ Spin,ARVN9FZ1187FB393F1,,SOQFWBE12A8C1316AF,134.02,rock,2005
Honey,0.815681531,ARLGIX31187B9AE9A0,R. Kelly & Jay Z,242.15465,0.811092053,37.15735675,-63.93335787,-3.38,392918,The Best Of Both Worlds,ARTJHE61187FB3696E,0.419125893,SOXKMLO12AB017FFDB,95.464,gangster rap,0
Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),0.812307796,ARV3CRH1187B9A1B21,Green Day,340.79302,0.859513993,37.15735675,-63.93335787,-5.66,138100,Wake Me Up When September Ends,ARKR75V1187FB3D4D5,0.437909889,SOWQROJ12A8AE47400,101.08,alternative rock,2005
Girl You're So Together,0.808502137,ARXPPEY1187FB51DF4,Michael Jackson,188.99546,0.866519754,37.15735675,-63.93335787,-10.44,312635,The Motown Years 50,ARG5N201187FB570F1,0.506905064,SOBKDCU12A6D4F80F6,111.459,motown,1984
Ricky Ticky Toc,0.804830428,ARTH9041187FB43E1F,Eminem,171.72853,0.871010614,37.15735675,-63.93335787,-5.92,15516,Encore,AR23C041187FB4D534,0.661061378,SOXVSTI12A6310ECC7,86.007,hip hop,2004
The Way I Am,0.804830428,ARTH9041187FB43E1F,Eminem,289.30567,0.871010615,37.15735675,-63.93335787,-2.973,14305,The Marshall Mathers LP,AR23C041187FB4D534,0.813003556,SOWNZHB12A6701C776,174.69,hip hop,2000
Beautiful,0.804830428,ARTH9041187FB43E1F,Eminem,397.60934,0.871010615,37.15735675,-63.93335787,-7.038,533837,Beautiful,AR23C041187FB4D534,,SOZYRBU12AB0181196,131.955,hip hop,2009
The Way I Am,0.804830428,ARTH9041187FB43E1F,Eminem,291.10812,0.871010615,37.15735675,-63.93335787,-3.353,389026,Curtain Call,AR23C041187FB4D534,,SOQRRHL12AB017A67C,174.731,hip hop,2000
The Way I Am,0.804830428,ARTH9041187FB43E1F,Eminem,292.25751,0.871010615,37.15735675,-63.93335787,-2.274,14321,Without Me,AR23C041187FB4D534,,SOODOVP12A6701E939,174.651,hip hop,2000
I'm Back,0.804830428,ARTH9041187FB43E1F,Eminem,312.2673,0.871010615,37.15735675,-63.93335787,-3.989,14302,The Marshall Mathers LP,AR23C041187FB4D534,0.811707531,SOLXDDC12A6701FBFD,180.168,hip hop,2000
Pienso En Ti,0.804219797,AR6PJ8R1187FB5AD70,Shakira,148.1922,0.833178526,37.15735675,-63.93335787,-19.976,439614,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),ARBHW3X1187B999013,0.701124286,SOSMXVH12A58A7CA6C,115.066,dance pop,1995
Loba,0.804219797,AR6PJ8R1187FB5AD70,Shakira,222.37995,0.833178561,37.15735675,-63.93335787,-5.16,554310,Loba,ARBHW3X1187B999013,,SOWIZXE12AB0184B34,128.217,dance pop,2009
Did It Again (featuring Kid Cudi),0.804219797,AR6PJ8R1187FB5AD70,Shakira,242.02404,0.833178561,37.15735675,-63.93335787,-5.243,662916,Did It Again Feat. Kid Cudi,ARBHW3X1187B999013,,SODOXQL12AB01843D3,137.935,dance pop,0
Poem To A Horse,0.804219797,AR6PJ8R1187FB5AD70,Shakira,246.43873,0.833178561,37.15735675,-63.93335787,-6.025,528854,Laundry Service,ARBHW3X1187B999013,0.7731945,SOUSXAY12A8C1358FA,93.982,dance pop,2001
TAo,0.804219797,AR6PJ8R1187FB5AD70,Shakira,214.12526,0.833178561,37.15735675,-63.93335787,-10.65,573639,Donde Estan Los Ladrones,ARBHW3X1187B999013,,SONPFMD12AB017C1B3,139.95,dance pop,1998
Donde Estas Corazon,0.804219797,AR6PJ8R1187FB5AD70,Shakira,399.98649,0.833178526,37.15735675,-63.93335787,-7.094,300411,The Remixes,ARBHW3X1187B999013,,SOZTNUV12A58A7FCB5,121.589,dance pop,1997
This Is Where It Ends (Album Version),0.794270768,ARW7K0P1187B9B5B47,Barenaked Ladies,173.19138,0.822150362,37.15735675,-63.93335787,-11.835,542207,Born On A Pirate Ship,ARDW1CO1187B9AD318,,SOEAMLK12AB017F3D2,120.969,post-grunge,1996
Do You Know? (The Ping Pong Song),0.794248177,ARDCFNZ1187FB3DDB0,Enrique Iglesias,222.14485,0.849446736,37.15735675,-63.93335787,-5.01,130598,Big Summer Tunes,AR2FSX31187B98E3EF,,SOHHJYE12CF530E53A,114.983,dance pop,2007
The Dynamo Of Volition [From An All Night Session],0.793412623,ARML3X41187FB35F2E,Jason Mraz,263.00036,0.842972108,37.15735675,-63.93335787,-13.163,241960,We Sing.  We Dance.  We Steal Things.,ARFONB81187B994D01,0.610764004,SOCDAIR12A8C131F89,62.894,alternative rock,0
Did You Get My Message?  (Live From Shubas),0.793412623,ARML3X41187FB35F2E,Jason Mraz,336.43057,0.842972108,37.15735675,-63.93335787,-10.26,68507,Selections For Friends,ARFONB81187B994D01,0.447915443,SOSPCBI12A58A7BF1E,104.296,alternative rock,2007
No Stopping Us [Eagles Ballroom Live Version],0.793412623,ARML3X41187FB35F2E,Jason Mraz,369.94567,0.842972108,37.15735675,-63.93335787,-4.196,110171,Tonight_ Not Again: Jason Mraz Live At The Eagles Ballroom,ARFONB81187B994D01,0.700152095,SOYDYJV12A8C13B5CC,119.234,alternative rock,0
Song For A Friend (Live From Montalvo),0.793412623,ARML3X41187FB35F2E,Jason Mraz,740.46649,0.842972108,37.15735675,-63.93335787,-10.798,68507,Selections For Friends,ARFONB81187B994D01,0.681546638,SOSAZTX12A67ADBEE0,173.468,alternative rock,2007
Can't Take My Eyes Off You,0.791500973,ARR3ONV1187B9A2F59,Muse,211.12118,0.929030287,54.31407,-2.23001,-5.646,522407,Dead Star / In Your World,ARH6W4X1187B99274F,0.8256561,SOYCHDB12A8C13F2C8,126.725,art rock,0
Crawling (Album Version),0.791143002,ARQUMH41187B9AF699,Linkin Park,208.95302,0.887386081,34.05349,-118.24532,-6.052,18150,Hybrid Theory,AR5H4CJ1187B9AE949,0.872229023,SOEKSGJ12A67AE227E,105.095,rap metal,2000
Given Up (Album Version),0.791143002,ARQUMH41187B9AF699,Linkin Park,189.28281,0.887386081,34.05349,-118.24532,-4.034,85606,Minutes To Midnight,AR5H4CJ1187B9AE949,0.586924698,SOWEUOO12A6D4F6D0C,100.073,rap metal,2007
Wicker Chair,0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,187.92444,0.845768866,36.16778,-86.77836,-5.907,449471,Holy Roller Novocaine,AR3KUCG1187B9A0BEA,0.685940227,SOLGHDZ12AB0183B11,116.823,southern rock,2003
Knocked Up,0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,466.65098,0.845768866,36.16778,-86.77836,-7.714,315023,Sex On Fire,AR3KUCG1187B9A0BEA,,SOCOICY12A8C140D18,114.73,southern rock,2007
My Party (Kenna Remix),0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,225.27955,0.845768866,36.16778,-86.77836,-6.205,280211,Charmer,AR3KUCG1187B9A0BEA,0.565666582,SOOCPDS12A8AE469F0,127.006,southern rock,2007
Genius,0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,168.82893,0.845768866,36.16778,-86.77836,-6.538,429695,Youth & Young Manhood,AR3KUCG1187B9A0BEA,0.910225076,SOPWKOX12A8C139D43,125.875,southern rock,2003
Ragoo,0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,181.13261,0.845768866,36.16778,-86.77836,-6.391,311865,Because Of The Times,AR3KUCG1187B9A0BEA,0.746160913,SOZAPQT12A8C142821,102.066,southern rock,2007
Woo Hoo,0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,211.40853,0.845768866,36.16778,-86.77836,-5.217,312177,Fans,AR3KUCG1187B9A0BEA,0.657074962,SOXEXXA12A8C140B83,125.19,southern rock,2007
Something's Missing,0.788137758,ARZENOX1187B98A645,John Mayer,407.45751,0.837947909,37.15735675,-63.93335787,-7.123,281644,Any Given Thursday,ARQXC7V1187FB4DA9E,,SOCWWGG12A58A7AC1C,153.055,rock,0
